tilt	even	odd
0	4.622587417444633e-05	5.02802969687594e-06
1	0.004768964678505526	6.339016835216889e-06
2	0.0014457130183187171	0.0761893793475168
3	0.0010407530850908263	0.0009723152735624811
4	0.0007183936967086629	0.0007007807418513072
5	0.0005564322602637748	0.0005231332196926881
6	0.0004609682321689432	0.00047920823843569817
7	0.00020718517100682855	0.0002405886929163213
8	4.042688009334341e-06	3.733311098945236e-06
9	1.7664689366066608e-06	1.6091291481982572e-06
10	1.3864178980816504e-05	1.2618835817365627e-06
11	0.00020547947176991795	1.4925526061121894e-06
12	0.0003781803390311986	0.0006064412439320627
13	6.055490902208715e-05	0.0008737362165881891
14	0.0003327084627915379	0.0003734469245742563
15	0.0006427131486237564	0.00047840549991277665
16	0.0009154757248351893	0.0010000707091612688
17	0.0008733255001842076	0.0007792681132940224
18	0.001369814936695343	0.0009469935419435743
19	0.0008382790898030822	0.0013318035306505824
20	0.0009615991401570358	0.0007679908076316627
21	0.000696416417762613	0.0007928919641174078
22	0.00017833157475133287	0.000606398480323942
23	6.125170175129912e-05	0.00013937505484259286
24	8.339041941132709e-05	3.96319536410786e-05
25	0.0001844962852511083	0.00020807657053616987
26	0.00010852165119167355	0.00014206991790174098
27	0.00018085360315422876	0.0012717251740629965
28	0.0005826720468288261	0.0009022970810262684
29	0.0007529332423297184	0.00027228962303820436
